t, ft, filtered ft Array, filtered ft Vector
2.83417,-0.230445,-0.220289,-0.220289
2.83816,-0.280154,-0.232149,-0.232149
2.84216,-0.26409,-0.240984,-0.240984
2.84615,-0.234813,-0.239788,-0.239788
2.85015,-0.228518,-0.240558,-0.240558
2.85415,-0.223249,-0.230223,-0.230223
2.85814,-0.21725,-0.227242,-0.227242
2.86214,-0.235834,-0.219152,-0.219152
2.86613,-0.207806,-0.221943,-0.221943
2.87013,-0.243227,-0.224237,-0.224237
2.87413,-0.178179,-0.207911,-0.207911
2.87812,-0.248057,-0.189721,-0.189721
2.88212,-0.239306,-0.177476,-0.177476
2.88611,-0.102969,-0.139551,-0.139551
2.89011,-0.108501,-0.116072,-0.116072
2.89411,-0.122089,-0.0838641,-0.0838641
2.8981,0.0222481,-0.0680482,-0.0680482
2.9021,-0.0138302,-0.0698599,-0.0698599
2.90609,-0.0226013,-0.0511462,-0.0511462
2.91009,-0.128595,-0.0190332,-0.0190332
2.91409,-0.11565,-0.0149985,-0.0149985
2.91808,0.0224943,-0.000444053,-0.000444053
2.92208,0.102702,0.00625492,0.00625492
2.92607,0.0504913,0.033602,0.033602
2.93007,0.0880509,0.067332,0.067332
2.93407,0.0242915,0.0803197,0.0803197
2.93806,0.0628347,0.0849036,0.0849036
2.94206,0.12046,0.0985433,0.0985433
2.94605,0.113408,0.105058,0.105058
2.95005,0.134789,0.13021,0.13021
2.95405,0.145969,0.147974,0.147974
2.95804,0.133656,0.165373,0.165373
2.96204,0.200356,0.172759,0.172759
2.96603,0.187177,0.180588,0.180588
2.97003,0.242255,0.194053,0.194053
2.97403,0.165109,0.213345,0.213345
2.97802,0.189595,0.207484,0.207484
2.98202,0.240221,0.206259,0.206259
2.98601,0.268699,0.213665,0.213665
2.99001,0.159334,0.226385,0.226385
2.99401,0.178602,0.216981,0.216981
2.998,0.294095,0.227753,0.227753
3.002,0.254147,0.209611,0.209611
3.00599,0.123768,0.222267,0.222267
3.00999,0.315626,0.226221,0.226221
3.01399,0.141703,0.216136,0.216136
3.01798,0.247928,0.209815,0.209815
3.02198,0.20628,0.221677,0.221677
3.02597,0.223499,0.204892,0.204892
